ticker,priceToEarning.top200AvgValue,priceToEarning.industryAvgValue,valueBeforeEbitda.top200AvgValue,valueBeforeEbitda.industryAvgValue,priceToBook.top200AvgValue,priceToBook.industryAvgValue,dividend.top200AvgValue,dividend.industryAvgValue,roe.top200AvgValue,roe.industryAvgValue,roa.top200AvgValue,roa.industryAvgValue,grossProfitMargin.top200AvgValue,grossProfitMargin.industryAvgValue,operatingProfitMargin.top200AvgValue,operatingProfitMargin.industryAvgValue,postTaxMargin.top200AvgValue,postTaxMargin.industryAvgValue,debtOnEquity.top200AvgValue,debtOnEquity.industryAvgValue,debtOnAsset.top200AvgValue,debtOnAsset.industryAvgValue,debtOnEbitda.top200AvgValue,debtOnEbitda.industryAvgValue,shortOnLongDebt.top200AvgValue,shortOnLongDebt.industryAvgValue,ebitOnInterest.top200AvgValue,ebitOnInterest.industryAvgValue,assetOnEquity.top200AvgValue,assetOnEquity.industryAvgValue,cashOnEquity.top200AvgValue,cashOnEquity.industryAvgValue,cashOnCapitalize.top200AvgValue,cashOnCapitalize.industryAvgValue,currentPayment.top200AvgValue,currentPayment.industryAvgValue,quickPayment.top200AvgValue,quickPayment.industryAvgValue,daysReceivable.top200AvgValue,daysReceivable.industryAvgValue,daysInventory.top200AvgValue,daysInventory.industryAvgValue,daysPayable.top200AvgValue,daysPayable.industryAvgValue,cashCirculation.top200AvgValue,cashCirculation.industryAvgValue,revenueOnWorkCapital.top200AvgValue,revenueOnWorkCapital.industryAvgValue,revenueOnAsset.top200AvgValue,revenueOnAsset.industryAvgValue,ebitOnRevenue.top200AvgValue,ebitOnRevenue.industryAvgValue,netDebtOnEbitda.top200AvgValue,netDebtOnEbitda.industryAvgValue,netDebtOnEquity.top200AvgValue,netDebtOnEquity.industryAvgValue,priceToSales.top200AvgValue,priceToSales.industryAvgValue,costOfFinancing.industryAvgValue,interestMargin.industryAvgValue,nonInterestOnToi.industryAvgValue,costToIncome.industryAvgValue,preProvisionOnToi.industryAvgValue,postTaxOnToi.industryAvgValue,depositOnEarnAsset.industryAvgValue,cancelDebt.industryAvgValue,badDebtPercentage.industryAvgValue,provisionOnBadDebt.industryAvgValue,loanOnDeposit.industryAvgValue,equityOnTotalAsset.industryAvgValue,badDebtOnAsset.industryAvgValue
PIA,14.4,324.4,13,13.9,1.7,2.7,0,0,0.094,0.147,0.031,0.074,0.29,0.469,0.15,0.105,0.117,0.093,1.4,0.4,0.6,0.3,2.2,0.1,1,1.8,2.8,8.3,2.5,1.4,0.1,0.218,0.06,0.159,1.7,3.2,1.4,3.1,147,115,81,56,33,41,0.2,0.7,2.1,2.9,0.4,0.9,0.15,0.105,2.2,0.1,0.6,0.1,2,0.9,,,,,,,,,,,,,
PTP,14.4,324.4,13,13.9,1.7,2.7,0,0,0.094,0.147,0.031,0.074,0.29,0.469,0.15,0.105,0.117,0.093,1.4,0.4,0.6,0.3,2.2,0.1,1,1.8,2.8,8.3,2.5,1.4,0.1,0.218,0.06,0.159,1.7,3.2,1.4,3.1,147,115,81,56,33,41,0.2,0.7,2.1,2.9,0.4,0.9,0.15,0.105,2.2,0.1,0.6,0.1,2,0.9,,,,,,,,,,,,,
TTN,14.4,324.4,13,13.9,1.7,2.7,0,0,0.094,0.147,0.031,0.074,0.29,0.469,0.15,0.105,0.117,0.093,1.4,0.4,0.6,0.3,2.2,0.1,1,1.8,2.8,8.3,2.5,1.4,0.1,0.218,0.06,0.159,1.7,3.2,1.4,3.1,147,115,81,56,33,41,0.2,0.7,2.1,2.9,0.4,0.9,0.15,0.105,2.2,0.1,0.6,0.1,2,0.9,,,,,,,,,,,,,
FUCTVGF3,14.4,28.1,13,18.2,1.7,1.5,0,0,0.094,0.057,0.031,0.031,0.29,0.637,0.15,0.451,0.117,0.308,1.4,0.6,0.6,0.3,2.2,1.4,1,0.5,2.8,1.1,2.5,1.7,0.1,0.134,0.06,0.099,1.7,3.9,1.4,3.8,147,1077,81,118,33,8,0.2,0.3,2.1,0.3,0.4,0.2,0.15,0.451,2.2,1.4,0.6,0.2,2,6.5,,,,,,,,,,,,,
FUEIP100,14.4,28.1,13,18.2,1.7,1.5,0,0,0.094,0.057,0.031,0.031,0.29,0.637,0.15,0.451,0.117,0.308,1.4,0.6,0.6,0.3,2.2,1.4,1,0.5,2.8,1.1,2.5,1.7,0.1,0.134,0.06,0.099,1.7,3.9,1.4,3.8,147,1077,81,118,33,8,0.2,0.3,2.1,0.3,0.4,0.2,0.15,0.451,2.2,1.4,0.6,0.2,2,6.5,,,,,,,,,,,,,
FUEKIV30,14.4,28.1,13,18.2,1.7,1.5,0,0,0.094,0.057,0.031,0.031,0.29,0.637,0.15,0.451,0.117,0.308,1.4,0.6,0.6,0.3,2.2,1.4,1,0.5,2.8,1.1,2.5,1.7,0.1,0.134,0.06,0.099,1.7,3.9,1.4,3.8,147,1077,81,118,33,8,0.2,0.3,2.1,0.3,0.4,0.2,0.15,0.451,2.2,1.4,0.6,0.2,2,6.5,,,,,,,,,,,,,
FUCTVGF4,14.4,28.1,13,18.2,1.7,1.5,0,0,0.094,0.057,0.031,0.031,0.29,0.637,0.15,0.451,0.117,0.308,1.4,0.6,0.6,0.3,2.2,1.4,1,0.5,2.8,1.1,2.5,1.7,0.1,0.134,0.06,0.099,1.7,3.9,1.4,3.8,147,1077,81,118,33,8,0.2,0.3,2.1,0.3,0.4,0.2,0.15,0.451,2.2,1.4,0.6,0.2,2,6.5,,,,,,,,,,,,,
FUEDCMID,14.4,28.1,13,18.2,1.7,1.5,0,0,0.094,0.057,0.031,0.031,0.29,0.637,0.15,0.451,0.117,0.308,1.4,0.6,0.6,0.3,2.2,1.4,1,0.5,2.8,1.1,2.5,1.7,0.1,0.134,0.06,0.099,1.7,3.9,1.4,3.8,147,1077,81,118,33,8,0.2,0.3,2.1,0.3,0.4,0.2,0.15,0.451,2.2,1.4,0.6,0.2,2,6.5,,,,,,,,,,,,,
FUEKIVFS,14.4,28.1,13,18.2,1.7,1.5,0,0,0.094,0.057,0.031,0.031,0.29,0.637,0.15,0.451,0.117,0.308,1.4,0.6,0.6,0.3,2.2,1.4,1,0.5,2.8,1.1,2.5,1.7,0.1,0.134,0.06,0.099,1.7,3.9,1.4,3.8,147,1077,81,118,33,8,0.2,0.3,2.1,0.3,0.4,0.2,0.15,0.451,2.2,1.4,0.6,0.2,2,6.5,,,,,,,,,,,,,
FUEMAVND,14.4,28.1,13,18.2,1.7,1.5,0,0,0.094,0.057,0.031,0.031,0.29,0.637,0.15,0.451,0.117,0.308,1.4,0.6,0.6,0.3,2.2,1.4,1,0.5,2.8,1.1,2.5,1.7,0.1,0.134,0.06,0.099,1.7,3.9,1.4,3.8,147,1077,81,118,33,8,0.2,0.3,2.1,0.3,0.4,0.2,0.15,0.451,2.2,1.4,0.6,0.2,2,6.5,,,,,,,,,,,,,
